Headline,Date,Author,Vertical,Description
Commuter files case against anti-CAA protesters at Shaheen Bagh for threatening to…,"Jan 20, 2020",Reporter,DELHI,"NEW DELHI: A commuter on Sunday filed a case against the anti-CAA protesters at Shaheeen Bagh, saying he had been threatened by…"
"Maharashtra to get 6,500 primary ‘health wellness centers’ by March","Jan 20, 2020",Reporter,OTHER STATES,"MUMBAI: Maharashtra minister Rajesh Tope on Sunday said that 6,500 'Health Wellness Centres' will be set up in the state by the…"
"Those opposing CAA mentally affected, need treatment: UP deputy CM Keshav Prasad Maurya","Jan 20, 2020",Reporter,NATIONAL,MATHURA: Uttar Pradesh Deputy Chief Minister Keshav Prasad Maurya on Sunday said those opposing the Citizenship Amendment Act are…
Will boycott Centre’s CAA-NRC study tour to Northeast: TMC MP Kakoli Ghosh Dastidar,"Jan 20, 2020",Reporter,OTHER STATES,KOLKATA: Senior TMC lawmaker Kakoli Ghosh Dastidar said on Sunday that she will boycott a study tour on the CAA-NRC-NPR issue to…
Don’t do something to artificially boost growth: Congress slams BJP on ‘data…,"Jan 20, 2020",Reporter,DELHI,NEW DELHI: The Congress on Sunday expressed apprehension over the government's reported bid to revamp official statistics to…
Three arrested for attack on West Bengal’s Visva-Bharati campus students,"Jan 20, 2020",Reporter,CRIME,SURI (WEST BENGAL): One more person was arrested from Jharkhand on Sunday in connection with an attack by a group of students on…
"Terror politics has no place in India, BJP’s CK Bose contradicts Dilip Ghosh","Jan 20, 2020",Reporter,FEATUREDOTHER STATES,KOLKATA: West Bengal BJP vice-president Chandra Kumar Bose on Sunday contradicted state party president Dilip Ghosh over his…
‘I know my job’: FM Sitharaman on skipping PM’s meet with economists,"Jan 20, 2020",Reporter,OTHER STATES,"CHENNAI: In response to criticism for not attending a meeting steered by Prime Minister Narendra Modi on reviving economy, Finance…"
"BJP set to get new president today, JP Nadda likely to take over from Amit Shah","Jan 20, 2020",Reporter,FEATUREDNATIONAL,"NEW DELHI: The Bharatiya Janata Party will on Monday announce the name of its new chief, who would take over the reins of the…"
Most complaints to NCW came from Uttar Pradesh,"Jan 20, 2020",Reporter,CRIME,NEW DELHI: The state that hit the headlines last year for some of the most horrific incidents of crime against women also saw the…
Air India reinstates senior pilot found guilty of sexual harassment in 2019,"Jan 19, 2020",Reporter,DELHI,NEW DELHI: A senior Air India pilot who was suspended in May last year after being accused of sexual harassment by a woman…
Citizenship not just about rights but duties towards society too: CJI Bobde,"Jan 19, 2020",Reporter,NATIONAL,"NAGPUR: Amid the ongoing protests against the Citizenship Amendment Act in several parts of the country, Chief Justice of India…"
No right to live in India if you can’t accept Vande Mataram: Pratap Sarangi amid anti-CAA…,"Jan 19, 2020",Reporter,NATIONAL,"SURAT: Accusing Congress of spreading misinformation about the Citizenship Amendment Act (CAA), Union Minister Pratap Chandra…"
"After Kerala, Punjab, now Maharashtra mulls resolution against CAA","Jan 19, 2020",Reporter,FEATUREDOTHER STATES,"MUMBAI: After Kerala and Punjab, the Maha Vikas Agadi (MVA) government is also mulling over a resolution against the Citizenship…"
"Shops, transport shut as Shirdi observes bandh over controversy on Saibaba’s birthplace","Jan 19, 2020",Reporter,NATIONAL,"SHIRDI: Shops, eateries, various other commercial establishments and local transport remained shut in the Shirdi temple town of…"
